Year,cd,high_school_or_some_degree
2020,4_MO,283740
2020,4_MS,241732
2020,4_NC,208493
2020,4_NJ,159029
2020,4_NV,144742
2020,4_NY,274299
2020,4_OH,210192
2020,4_OK,243575
2020,4_OR,259893
2020,4_PA,141594
2020,4_SC,307809
2020,4_TN,258688
2020,4_TX,124642
2020,4_UT,326743
2020,4_VA,216611
2020,4_WA,268261
2020,4_WI,253435
2020,40_CA,79568
2020,41_CA,56318
2020,42_CA,128951
2020,43_CA,316689
2020,44_CA,482286
2020,45_CA,79772
2020,46_CA,342019
2020,47_CA,341016
2020,48_CA,664959
2020,49_CA,290616
2020,5_AL,199894
2020,5_AZ,220154
2020,5_CA,487303
2020,5_CO,280544
2020,5_CT,263556
2020,5_FL,270251
2020,5_GA,247680
2020,5_IL,24068
2020,5_IN,266662
2020,5_KY,350203
2020,5_LA,327107
2020,5_MA,234228
2020,5_MD,180158
2020,5_MI,382225
2020,5_MN,273092
2020,5_MO,191471
2020,5_NC,208524
2020,5_NJ,197374
2020,5_NY,283746
2020,5_OH,363055
2020,5_OK,389843
2020,5_OR,282779
2020,5_PA,221743
2020,5_SC,230191
2020,5_TN,327990
2020,5_TX,330635
2020,5_VA,276320
2020,5_WA,278873
2020,5_WI,146171
2020,50_CA,215706
2020,51_CA,99139
2020,52_CA,197455
2020,6_AL,369353
2020,6_AZ,376295
2020,6_CA,236822
2020,6_CO,363324
2020,6_FL,274807
2020,6_GA,208758
2020,6_IL,314626
2020,6_IN,274426
2020,6_KY,224914
2020,6_LA,135370
2020,6_MA,199825
2020,6_MD,259147
2020,6_MI,301982
2020,6_MN,207864
2020,6_MO,353872
2020,6_NC,383894
2020,6_NJ,299999
2020,6_NY,231575
2020,6_OH,263650
2020,6_OR,383299
2020,6_PA,251429
2020,6_SC,548914
2020,6_TN,171636
2020,6_TX,134311
2020,6_VA,330938
2020,6_WA,376317
2020,6_WI,422531
2020,7_AL,198658
2020,7_AZ,67774
2020,7_CA,194453
2020,7_CO,175961
2020,7_FL,192112
2020,7_GA,380045
2020,7_IL,57883
2020,7_IN,163632
2020,7_MA,77113
2020,7_MD,283840
2020,7_MI,250359
2020,7_MN,226865
2020,7_MO,307675
2020,7_NC,408163
2020,7_NJ,195390
2020,7_NY,468567
2020,7_OH,121058
2020,7_PA,257079
2020,7_SC,270051
2020,7_TN,339918
2020,7_TX,283669
2020,7_VA,330265
2020,7_WA,154061
2020,7_WI,231447
2020,8_AZ,162088
2020,8_CA,110084
2020,8_CO,225316
2020,8_FL,260815
2020,8_GA,447467
2020,8_IL,339598
2020,8_IN,293217
2020,8_MA,323742
2020,8_MD,155198
2020,8_MI,386845
2020,8_MN,362767
2020,8_MO,374868
2020,8_NC,241097
2020,8_NJ,127479
2020,8_NY,233436
2020,8_OH,225826
2020,8_PA,265365
2020,8_TN,217585
2020,8_TX,322978
2020,8_VA,184160
2020,8_WA,98157
2020,8_WI,243630
2020,9_AZ,488434
2020,9_CA,369395
2020,9_FL,198776
2020,9_GA,265649
2020,9_IL,137201
2020,9_IN,367094
2020,9_MA,252501
2020,9_MI,337053
2020,9_NC,319783
2020,9_NJ,268153
2020,9_NY,110234
2020,9_OH,367385
2020,9_PA,395006
2020,9_TN,371238
2020,9_TX,500295
2020,9_VA,348767
2020,9_WA,370681
