Year,cd,Less_than_high_school_graduate
2020,0_AK,33572
2020,0_DC,34652
2020,0_DE,57053
2020,0_ND,26631
2020,0_PR,33572
2020,0_SD,41808
2020,0_VT,25013
2020,0_WY,22529
2020,1_AL,44764
2020,1_AR,69560
2020,1_AZ,48500
2020,1_CA,54594
2020,1_CO,34408
2020,1_CT,38823
2020,1_FL,45602
2020,1_GA,54976
2020,1_HI,28371
2020,1_IA,36708
2020,1_ID,57002
2020,1_IL,5788
2020,1_IN,38712
2020,1_KS,37180
2020,1_KY,40106
2020,1_LA,41905
2020,1_MA,51066
2020,1_MD,35582
2020,1_ME,21606
2020,1_MI,38275
2020,1_MN,35210
2020,1_MO,40042
2020,1_MS,57242
2020,1_MT,19638
2020,1_NC,40492
2020,1_NE,17169
2020,1_NH,23993
2020,1_NJ,39259
2020,1_NM,51503
2020,1_NV,91539
2020,1_NY,50117
2020,1_OH,56479
2020,1_OK,36181
2020,1_OR,24647
2020,1_PA,34390
2020,1_RI,24193
2020,1_SC,20222
2020,1_TN,55130
2020,1_TX,52944
2020,1_UT,27240
2020,1_VA,37626
2020,1_WA,48694
2020,1_WI,49649
2020,1_WV,65686
2020,10_CA,51882
2020,10_FL,70431
2020,10_GA,48960
2020,10_IL,35641
2020,10_MI,38919
2020,10_NC,78225
2020,10_NJ,69253
2020,10_NY,88330
2020,10_OH,39692
2020,10_PA,45955
2020,10_TX,40492
2020,10_VA,42332
2020,10_WA,27023
2020,11_CA,47751
2020,11_FL,40221
2020,11_GA,6906
2020,11_IL,73936
2020,11_MI,25312
2020,11_NC,41789
2020,11_NJ,34994
2020,11_NY,32689
2020,11_OH,60931
2020,11_PA,43750
2020,11_TX,78554
2020,11_VA,15441
2020,12_CA,40299
2020,12_FL,37980
2020,12_GA,55667
2020,12_IL,46422
2020,12_MI,64601
2020,12_NC,23121
2020,12_NJ,16435
2020,12_NY,25217
2020,12_OH,66272
2020,12_PA,26395
2020,12_TX,104786
2020,13_CA,74208
2020,13_FL,28128
2020,13_GA,70691
2020,13_IL,45644
2020,13_MI,58039
2020,13_NC,48501
2020,13_NY,51739
2020,13_OH,44524
2020,13_PA,35623
2020,13_TX,57835
2020,14_CA,48660
2020,14_FL,50407
2020,14_GA,99536
2020,14_IL,38719
2020,14_NC,53976
2020,14_NY,29126
2020,14_OH,40071
2020,14_PA,39205
2020,14_TX,61303
2020,15_CA,20476
2020,15_FL,69215
2020,15_IL,24859
2020,15_NY,174812
2020,15_OH,37185
2020,15_PA,41864
2020,15_TX,47982
2020,16_CA,51209
2020,16_FL,35140
2020,16_IL,11917
2020,16_NY,46866
2020,16_PA,31111
2020,16_TX,69705
2020,17_CA,5832
2020,17_FL,30063
2020,17_IL,58253
2020,17_NY,39216
2020,17_PA,11743
2020,17_TX,46890
2020,18_CA,172750
2020,18_FL,104732
2020,18_NY,35865
2020,18_TX,176773
2020,19_CA,11800
2020,19_FL,59967
2020,19_NY,49499
2020,19_TX,57518
2020,2_AL,69141
2020,2_AR,23807
2020,2_AZ,92311
2020,2_CA,70389
2020,2_CO,43867
2020,2_CT,27489
2020,2_FL,54910
2020,2_GA,44296
2020,2_HI,21924
2020,2_IA,34451
2020,2_ID,42821
2020,2_IL,67258
2020,2_IN,69289
2020,2_KS,52300
2020,2_KY,55807
2020,2_LA,108035
2020,2_MA,28615
2020,2_MD,35838
2020,2_ME,28835
2020,2_MI,29185
2020,2_MN,20727
2020,2_MO,17767
2020,2_MS,83028
2020,2_MT,22121
2020,2_NC,10521
2020,2_NE,41303
2020,2_NH,29634
2020,2_NJ,45744
2020,2_NM,35228
2020,2_NV,53564
2020,2_NY,34120
2020,2_OH,42723
2020,2_OK,75383
2020,2_OR,49460
2020,2_PA,64007
2020,2_RI,33565
2020,2_SC,27450
2020,2_TN,27775
2020,2_TX,94092
2020,2_UT,71054
2020,2_VA,35821
2020,2_WA,23078
2020,2_WI,15755
2020,2_WV,47056
2020,20_CA,41666
2020,20_FL,78621
2020,20_NY,28632
2020,20_TX,79678
2020,21_CA,34562
2020,21_FL,53180
2020,21_NY,49009
2020,21_TX,11076
2020,22_CA,174413
2020,22_FL,58591
2020,22_NY,39260
2020,22_TX,7628
2020,23_CA,124894
2020,23_FL,9270
2020,23_NY,30691
2020,23_TX,55936
2020,24_CA,58710
2020,24_FL,63937
2020,24_NY,55008
2020,24_TX,92397
2020,25_CA,86749
2020,25_FL,51089
2020,25_NY,35678
2020,25_TX,107465
2020,26_CA,71620
2020,26_FL,44310
2020,26_NY,39068
2020,26_TX,46038
2020,27_CA,73599
2020,27_FL,91426
2020,27_TX,71228
2020,28_CA,77058
2020,28_FL,43692
2020,28_TX,151957
2020,29_CA,76422
2020,29_TX,17091
2020,3_AL,49575
2020,3_AR,51815
2020,3_AZ,58520
2020,3_CA,48507
2020,3_CO,41316
2020,3_CT,24990
2020,3_FL,67828
2020,3_GA,34630
2020,3_IA,30496
2020,3_IL,103441
2020,3_IN,46774
2020,3_KS,23183
2020,3_KY,33281
2020,3_LA,69749
2020,3_MA,47999
2020,3_MD,27050
2020,3_MI,57544
2020,3_MN,20517
2020,3_MO,46022
2020,3_MS,55106
2020,3_NC,68311
2020,3_NE,38742
2020,3_NJ,41370
2020,3_NM,77444
2020,3_NV,79326
2020,3_NY,13640
2020,3_OH,48667
2020,3_OK,65214
2020,3_OR,35051
2020,3_PA,56726
2020,3_SC,50774
2020,3_TN,61593
2020,3_TX,53298
2020,3_UT,16088
2020,3_VA,37675
2020,3_WA,45927
2020,3_WI,35016
2020,30_CA,19412
2020,30_TX,157863
2020,31_CA,42532
2020,31_TX,25867
2020,32_CA,89285
2020,32_TX,3745
2020,33_CA,62033
2020,33_TX,21968
2020,34_CA,189573
2020,34_TX,148719
2020,35_CA,35687
2020,35_TX,68802
2020,36_CA,5300
2020,36_TX,57039
2020,37_CA,84956
2020,37_TX,53122
2020,38_CA,107109
2020,38_TX,2347
2020,39_CA,128120
2020,4_AL,67001
2020,4_AR,62641
2020,4_AZ,71576
2020,4_CA,53452
2020,4_CO,16185
2020,4_CT,46386
2020,4_FL,46469
2020,4_GA,15962
2020,4_IA,39444
2020,4_IL,94730
2020,4_IN,54164
2020,4_KS,44995
2020,4_KY,54337
2020,4_LA,66940
2020,4_MA,36595
2020,4_MD,71157
2020,4_MI,20948
2020,4_MN,35929
2020,4_MO,35085
2020,4_MS,40491
2020,4_NC,39742
2020,4_NJ,18307
2020,4_NV,24011
2020,4_NY,47200
