Year,cd,Less_than_high_school_graduate
2020,4_OH,24328
2020,4_OK,33177
2020,4_OR,33497
2020,4_PA,13219
2020,4_SC,57998
2020,4_TN,42871
2020,4_TX,21563
2020,4_UT,33744
2020,4_VA,38935
2020,4_WA,88719
2020,4_WI,53337
2020,40_CA,19010
2020,41_CA,9079
2020,42_CA,48836
2020,43_CA,125626
2020,44_CA,208379
2020,45_CA,16561
2020,46_CA,131398
2020,47_CA,79321
2020,48_CA,127983
2020,49_CA,41225
2020,5_AL,36396
2020,5_AZ,20575
2020,5_CA,122054
2020,5_CO,27467
2020,5_CT,40497
2020,5_FL,31998
2020,5_GA,47984
2020,5_IL,2183
2020,5_IN,33125
2020,5_KY,88202
2020,5_LA,79750
2020,5_MA,39577
2020,5_MD,18003
2020,5_MI,52467
2020,5_MN,46263
2020,5_MO,32094
2020,5_NC,36418
2020,5_NJ,22596
2020,5_NY,66436
2020,5_OH,43688
2020,5_OK,68422
2020,5_OR,37799
2020,5_PA,27244
2020,5_SC,40193
2020,5_TN,54329
2020,5_TX,86509
2020,5_VA,42786
2020,5_WA,29106
2020,5_WI,12822
2020,50_CA,44532
2020,51_CA,14166
2020,52_CA,48140
2020,6_AL,60132
2020,6_AZ,71468
2020,6_CA,40311
2020,6_CO,70734
2020,6_FL,41172
2020,6_GA,32546
2020,6_IL,57216
2020,6_IN,51289
2020,6_KY,33347
2020,6_LA,19374
2020,6_MA,30467
2020,6_MD,40914
2020,6_MI,28764
2020,6_MN,19260
2020,6_MO,45224
2020,6_NC,73169
2020,6_NJ,55633
2020,6_NY,85741
2020,6_OH,33012
2020,6_OR,70148
2020,6_PA,46585
2020,6_SC,94062
2020,6_TN,28626
2020,6_TX,33837
2020,6_VA,49939
2020,6_WA,49171
2020,6_WI,41113
2020,7_AL,32083
2020,7_AZ,19086
2020,7_CA,46552
2020,7_CO,25560
2020,7_FL,21405
2020,7_GA,85651
2020,7_IL,8676
2020,7_IN,43626
2020,7_MA,21960
2020,7_MD,60985
2020,7_MI,21807
2020,7_MN,23205
2020,7_MO,46159
2020,7_NC,67309
2020,7_NJ,22042
2020,7_NY,122089
2020,7_OH,12155
2020,7_PA,32750
2020,7_SC,48818
2020,7_TN,55104
2020,7_TX,60132
2020,7_VA,52963
2020,7_WA,16702
2020,7_WI,25502
2020,8_AZ,35971
2020,8_CA,31680
2020,8_CO,47594
2020,8_FL,36395
2020,8_GA,93539
2020,8_IL,61025
2020,8_IN,45577
2020,8_MA,57056
2020,8_MD,41714
2020,8_MI,47522
2020,8_MN,34427
2020,8_MO,65523
2020,8_NC,44825
2020,8_NJ,38536
2020,8_NY,58946
2020,8_OH,23349
2020,8_PA,36758
2020,8_TN,36375
2020,8_TX,63292
2020,8_VA,51308
2020,8_WA,15454
2020,8_WI,25797
2020,9_AZ,124233
2020,9_CA,93517
2020,9_FL,31294
2020,9_GA,71317
2020,9_IL,23877
2020,9_IN,51519
2020,9_MA,31805
2020,9_MI,37976
2020,9_NC,56376
2020,9_NJ,57839
2020,9_NY,21415
2020,9_OH,44223
2020,9_PA,56799
2020,9_TN,64244
2020,9_TX,175278
2020,9_VA,50985
2020,9_WA,71044
