Year,cd,Less_than_high_school_graduate
2021,4_MO,34717
2021,4_MS,42289
2021,4_NC,39133
2021,4_NJ,18787
2021,4_NV,24867
2021,4_NY,48826
2021,4_OH,24653
2021,4_OK,33294
2021,4_OR,32970
2021,4_PA,13889
2021,4_SC,55890
2021,4_TN,43681
2021,4_TX,20510
2021,4_UT,37628
2021,4_VA,39128
2021,4_WA,89887
2021,4_WI,50666
2021,40_CA,17539
2021,41_CA,8663
2021,42_CA,47205
2021,43_CA,125129
2021,44_CA,204970
2021,45_CA,16841
2021,46_CA,124367
2021,47_CA,75557
2021,48_CA,126058
2021,49_CA,40516
2021,5_AL,36961
2021,5_AZ,21143
2021,5_CA,122403
2021,5_CO,28303
2021,5_CT,41947
2021,5_FL,31941
2021,5_GA,44561
2021,5_IL,2072
2021,5_IN,33749
2021,5_KY,86593
2021,5_LA,79782
2021,5_MA,40182
2021,5_MD,17889
2021,5_MI,53312
2021,5_MN,45523
2021,5_MO,32012
2021,5_NC,35268
2021,5_NJ,23783
2021,5_NY,69751
2021,5_OH,41548
2021,5_OK,67441
2021,5_OR,35939
2021,5_PA,26926
2021,5_SC,37878
2021,5_TN,54852
2021,5_TX,87874
2021,5_VA,41172
2021,5_WA,29455
2021,5_WI,12171
2021,50_CA,41638
2021,51_CA,13901
2021,52_CA,48406
2021,6_AL,59935
2021,6_AZ,67729
2021,6_CA,42102
2021,6_CO,71235
2021,6_FL,41907
2021,6_GA,33261
2021,6_IL,57500
2021,6_IN,51246
2021,6_KY,31462
2021,6_LA,18643
2021,6_MA,29994
2021,6_MD,43237
2021,6_MI,29030
2021,6_MN,20235
2021,6_MO,44282
2021,6_NC,71131
2021,6_NJ,56449
2021,6_NY,90318
2021,6_OH,31566
2021,6_OR,67585
2021,6_PA,47117
2021,6_SC,86478
2021,6_TN,28896
2021,6_TX,32910
2021,6_VA,49083
2021,6_WA,48630
2021,6_WI,42508
2021,7_AL,32644
2021,7_AZ,23268
2021,7_CA,46720
2021,7_CO,23455
2021,7_FL,21560
2021,7_GA,86471
2021,7_IL,8426
2021,7_IN,42685
2021,7_MA,23218
2021,7_MD,57631
2021,7_MI,21244
2021,7_MN,23532
2021,7_MO,45006
2021,7_NC,61392
2021,7_NJ,22140
2021,7_NY,123803
2021,7_OH,13181
2021,7_PA,32901
2021,7_SC,45455
2021,7_TN,53939
2021,7_TX,60040
2021,7_VA,52209
2021,7_WA,15429
2021,7_WI,26886
2021,8_AZ,35653
2021,8_CA,31769
2021,8_CO,46426
2021,8_FL,34816
2021,8_GA,93241
2021,8_IL,63117
2021,8_IN,43865
2021,8_MA,55049
2021,8_MD,41348
2021,8_MI,47248
2021,8_MN,35108
2021,8_MO,62511
2021,8_NC,43135
2021,8_NJ,39480
2021,8_NY,62135
2021,8_OH,22965
2021,8_PA,37880
2021,8_TN,35659
2021,8_TX,63073
2021,8_VA,47371
2021,8_WA,15291
2021,8_WI,26275
2021,9_AZ,117016
2021,9_CA,96133
2021,9_FL,32893
2021,9_GA,68685
2021,9_IL,22800
2021,9_IN,49572
2021,9_MA,33278
2021,9_MI,37117
2021,9_NC,55480
2021,9_NJ,58798
2021,9_NY,21254
2021,9_OH,44295
2021,9_PA,57616
2021,9_TN,63368
2021,9_TX,180807
2021,9_VA,48042
2021,9_WA,70455
