Year,cd,high_school_or_some_degree
2021,4_MO,285105
2021,4_MS,239287
2021,4_NC,207909
2021,4_NJ,164652
2021,4_NV,152007
2021,4_NY,278485
2021,4_OH,211109
2021,4_OK,243073
2021,4_OR,259804
2021,4_PA,141335
2021,4_SC,309208
2021,4_TN,261315
2021,4_TX,124989
2021,4_UT,356655
2021,4_VA,216685
2021,4_WA,269472
2021,4_WI,247184
2021,40_CA,78449
2021,41_CA,52442
2021,42_CA,127722
2021,43_CA,313904
2021,44_CA,486531
2021,45_CA,78209
2021,46_CA,339802
2021,47_CA,343626
2021,48_CA,658142
2021,49_CA,284673
2021,5_AL,205547
2021,5_AZ,220732
2021,5_CA,484044
2021,5_CO,281116
2021,5_CT,266017
2021,5_FL,274969
2021,5_GA,243272
2021,5_IL,23480
2021,5_IN,265327
2021,5_KY,349983
2021,5_LA,328643
2021,5_MA,232560
2021,5_MD,179352
2021,5_MI,381759
2021,5_MN,271702
2021,5_MO,192090
2021,5_NC,206222
2021,5_NJ,196743
2021,5_NY,298141
2021,5_OH,363741
2021,5_OK,386356
2021,5_OR,280437
2021,5_PA,223750
2021,5_SC,225517
2021,5_TN,332460
2021,5_TX,339978
2021,5_VA,282641
2021,5_WA,285909
2021,5_WI,143786
2021,50_CA,204457
2021,51_CA,93861
2021,52_CA,202747
2021,6_AL,373573
2021,6_AZ,367159
2021,6_CA,241389
2021,6_CO,357619
2021,6_FL,272615
2021,6_GA,208733
2021,6_IL,318103
2021,6_IN,280768
2021,6_KY,226773
2021,6_LA,137465
2021,6_MA,198615
2021,6_MD,261071
2021,6_MI,306546
2021,6_MN,206903
2021,6_MO,352224
2021,6_NC,385944
2021,6_NJ,307096
2021,6_NY,237528
2021,6_OH,262828
2021,6_OR,375539
2021,6_PA,254635
2021,6_SC,525064
2021,6_TN,174589
2021,6_TX,134936
2021,6_VA,332464
2021,6_WA,376131
2021,6_WI,427977
2021,7_AL,203697
2021,7_AZ,75456
2021,7_CA,196221
2021,7_CO,173263
2021,7_FL,188226
2021,7_GA,376933
